record_nuber,custoer_id,name,surname,address,account_id,zip_code,birthDate,national_id
1,1,Marlee,Amphlett,8048 Sycamore Parkway,32,3316,8/18/1976,3920841271
2,2,Regan,Dobrovsky,73497 Barnett Plaza,212,09127,3/18/1987,3920841271
3,3,Colan,Ace,993 Loeprich Plaza,194,7597,5/16/1993,3920841271
4,4,Nicolette,Morrallee,941 Lunder Alley,79,318,5/4/1973,3920841271
5,5,Anette,Barbisch,239 Lakewood Plaza,247,3,11/10/1992,3920841271
6,6,Patric,Dronsfield,604 2nd Alley,255,54,12/4/1993,3920841271
7,7,Theodoric,Norton,302 Weeping Birch Way,54,06,4/25/1976,3920841271
8,8,Theobald,Janousek,31 Clyde Gallagher Point,346,50,2/1/1972,3920841271
9,9,Ric,Stolte,381 Moulton Center,62,17274,3/5/1987,3920841271
10,10,Mayer,Meert,63135 Sunbrook Point,318,4151,6/20/2006,3920841271
11,11,Mario,Bettesworth,82 Bashford Street,324,2413,12/11/1979,3920841271
12,12,Uriah,Fearby,67 Truax Lane,329,466,10/6/2015,3920841271
13,13,Sunny,McCrum,9 Colorado Way,359,2913,7/13/1989,3920841271
14,14,Karlik,O'Sheeryne,8 Northport Street,394,87,10/3/1982,3920841271
15,15,Caria,Craighill,43 Vidon Crossing,265,4,7/26/2024,3920841271
16,16,Tania,Doulton,90 Logan Drive,344,96,1/14/2002,3920841271
17,17,Georgiana,Kember,5 Commercial Hill,104,240,3/17/1984,3920841271
18,18,Julius,Conduit,4 Susan Alley,142,653,12/26/1987,3920841271
19,19,Gregorius,Cleverly,8 Forest Dale Parkway,131,33,11/18/1988,3920841271
20,20,Ky,Adel,21 Prairie Rose Park,70,9134,12/10/2007,3920841271
21,21,Price,Quirke,6 Starling Circle,274,15,9/17/2024,3920841271
22,22,Alejandro,,7746 Memorial Pass,207,3,11/2/2006,3920841271
23,23,Hugibert,Oxtiby,75462 Transport Street,321,3151,7/9/2003,3920841271
24,24,Harmon,Ortet,288 Starling Park,323,994,4/9/1991,3920841271
25,25,Tressa,Whorf,6 Waubesa Pass,321,41354,8/24/1980,3920841271
26,26,Ibby,Kuhwald,1316 Delaware Street,79,10098,5/1/2020,3920841271
27,27,Claudia,Biaggi,6 Onsgard Way,145,47,11/12/2019,3920841271
28,28,Marjorie,Aspenlon,59635 Shopko Junction,60,85,4/8/1994,3920841271
29,29,Theresina,Sapson,851 Toban Center,48,5,7/17/1995,3920841271
30,30,Eadmund,Tuerena,9604 Loftsgordon Avenue,16,74,6/24/2024,
31,31,Emmott,Goulborne,2399 Hovde Court,236,2711,1/14/1990,3920841271
32,32,Kienan,Grieve,35883 Birchwood Hill,8,0053,3/11/2002,
